node: tikgpu04.ee.ethz.ch | gpu: NVIDIA TITAN RTX
OFDM initialized on cuda: 624 data syms, 104 pilot syms, 52 effective SC
  N_J=4 n= 1 p=0.031623  | BER 0.1306 cnn 0.271 en 0.012 suite 0.283 JSR -32.0 dB
  N_J=4 n= 2 p=0.031623  | BER 0.1277 cnn 0.244 en 0.006 suite 0.250 JSR -29.3 dB
  N_J=4 n= 4 p=0.031623  | BER 0.1322 cnn 0.236 en 0.014 suite 0.248 JSR -26.0 dB
  N_J=4 n= 8 p=0.031623  | BER 0.1294 cnn 0.246 en 0.027 suite 0.273 JSR -23.2 dB
  N_J=4 n=16 p=0.031623  | BER 0.1301 cnn 0.279 en 0.016 suite 0.295 JSR -20.1 dB
  N_J=4 n=32 p=0.031623  | BER 0.1322 cnn 0.307 en 0.018 suite 0.324 JSR -17.2 dB
  N_J=4 n=52 p=0.031623  | BER 0.1320 cnn 0.273 en 0.020 suite 0.291 JSR -15.2 dB
  N_J=4 n= 1 p=0.056234  | BER 0.1272 cnn 0.285 en 0.020 suite 0.301 JSR -29.6 dB
  N_J=4 n= 2 p=0.056234  | BER 0.1279 cnn 0.252 en 0.010 suite 0.260 JSR -26.5 dB
  N_J=4 n= 4 p=0.056234  | BER 0.1262 cnn 0.258 en 0.014 suite 0.271 JSR -23.6 dB
  N_J=4 n= 8 p=0.056234  | BER 0.1283 cnn 0.252 en 0.016 suite 0.268 JSR -20.6 dB
  N_J=4 n=16 p=0.056234  | BER 0.1337 cnn 0.266 en 0.010 suite 0.275 JSR -17.4 dB
  N_J=4 n=32 p=0.056234  | BER 0.1362 cnn 0.309 en 0.014 suite 0.322 JSR -14.6 dB
  N_J=4 n=52 p=0.056234  | BER 0.1405 cnn 0.328 en 0.014 suite 0.342 JSR -12.4 dB
  N_J=4 n= 1 p=0.1       | BER 0.1249 cnn 0.207 en 0.008 suite 0.215 JSR -27.3 dB
  N_J=4 n= 2 p=0.1       | BER 0.1283 cnn 0.258 en 0.020 suite 0.277 JSR -24.1 dB
  N_J=4 n= 4 p=0.1       | BER 0.1404 cnn 0.293 en 0.008 suite 0.301 JSR -20.7 dB
  N_J=4 n= 8 p=0.1       | BER 0.1307 cnn 0.266 en 0.008 suite 0.273 JSR -18.2 dB
  N_J=4 n=16 p=0.1       | BER 0.1394 cnn 0.273 en 0.002 suite 0.275 JSR -14.9 dB
  N_J=4 n=32 p=0.1       | BER 0.1422 cnn 0.371 en 0.018 suite 0.385 JSR -12.0 dB
  N_J=4 n=52 p=0.1       | BER 0.1476 cnn 0.363 en 0.018 suite 0.381 JSR -10.1 dB
  N_J=4 n= 1 p=0.177828  | BER 0.1321 cnn 0.279 en 0.008 suite 0.287 JSR -24.5 dB
  N_J=4 n= 2 p=0.177828  | BER 0.1314 cnn 0.293 en 0.014 suite 0.303 JSR -21.6 dB
  N_J=4 n= 4 p=0.177828  | BER 0.1341 cnn 0.271 en 0.006 suite 0.277 JSR -18.6 dB
  N_J=4 n= 8 p=0.177828  | BER 0.1310 cnn 0.279 en 0.008 suite 0.287 JSR -15.7 dB
  N_J=4 n=16 p=0.177828  | BER 0.1413 cnn 0.328 en 0.020 suite 0.348 JSR -12.6 dB
  N_J=4 n=32 p=0.177828  | BER 0.1534 cnn 0.410 en 0.012 suite 0.422 JSR -9.5 dB
  N_J=4 n=52 p=0.177828  | BER 0.1609 cnn 0.453 en 0.020 suite 0.469 JSR -7.6 dB
  N_J=4 n= 1 p=0.316228  | BER 0.1349 cnn 0.258 en 0.010 suite 0.268 JSR -21.9 dB
  N_J=4 n= 2 p=0.316228  | BER 0.1276 cnn 0.273 en 0.014 suite 0.287 JSR -19.3 dB
  N_J=4 n= 4 p=0.316228  | BER 0.1313 cnn 0.256 en 0.025 suite 0.281 JSR -16.3 dB
